Date,Price
2/24/2020,3052.562256
2/25/2020,3010.631348
2/26/2020,2943.542236
2/27/2020,2909.997559
2/28/2020,2926.769775
3/2/2020,2884.839355
3/3/2020,3035.790039
3/4/2020,3211.899658
3/5/2020,3211.899658
3/6/2020,3144.810303
3/9/2020,2935.15625
3/10/2020,2926.769775
3/11/2020,2851.294678
3/12/2020,2775.819092
3/13/2020,2775.819092
3/16/2020,2650.026611
3/17/2020,2465.531006
3/18/2020,2356.510986
3/19/2020,2197.174316
3/20/2020,2415.214111
3/23/2020,2247.490967
3/24/2020,2197.174316
3/26/2020,2499.075928
3/27/2020,2591.323486
3/30/2020,2633.254395
3/31/2020,2650.026611
4/1/2020,2599.709961
4/2/2020,2624.868164
4/3/2020,2683.571533
4/6/2020,2792.591553
4/7/2020,2700.34375
4/8/2020,2608.095703
4/9/2020,2616.482178
4/13/2020,2666.799072
4/14/2020,2717.115967
4/15/2020,2608.095703
4/16/2020,2515.848145
4/17/2020,2708.730225
4/20/2020,2616.482178
4/21/2020,2574.55127
4/22/2020,2650.026611
4/23/2020,2574.55127
4/24/2020,2591.323486
4/27/2020,2641.640381
4/28/2020,2650.026611
4/29/2020,2809.36377
4/30/2020,2935.15625
5/4/2020,2784.205078
5/5/2020,2784.205078
5/6/2020,2717.115967
5/8/2020,2675.185059
5/11/2020,2700.34375
5/12/2020,2641.640381
5/13/2020,2650.026611
5/14/2020,2574.55127
5/15/2020,2599.709961
5/18/2020,2700.34375
5/19/2020,2742.274658
5/20/2020,2666.799072
5/26/2020,2725.502441
5/27/2020,2658.412842
5/28/2020,2624.868164
5/29/2020,2641.640381
6/2/2020,2725.502441
6/3/2020,2759.046875
6/4/2020,2767.432861
6/5/2020,2708.730225
6/8/2020,2708.730225
6/9/2020,2633.254395
6/10/2020,2608.095703
6/11/2020,2582.937744
6/12/2020,2541.006592
6/15/2020,2591.323486
6/16/2020,2683.571533
6/17/2020,2691.95752
6/18/2020,2750.660645
6/19/2020,2750.660645
6/22/2020,2683.571533
6/23/2020,2624.868164
6/24/2020,2666.799072
6/25/2020,2650.026611
6/26/2020,2675.185059
6/29/2020,2666.799072
6/30/2020,2688.010742
7/1/2020,2679.19751
7/2/2020,2767.328857
7/3/2020,2749.702637
7/6/2020,2688.010742
7/7/2020,2749.702637
7/8/2020,2776.14209
7/9/2020,2740.889404
7/10/2020,2740.889404
